title,text,class,subject,date
Iceland's leftist opposition fails to form government,"REYKJAVIK (Reuters) - Talks on forming a governing coalition between Iceland s Left-Green Movement and three other parties after an Oct. 28 parliamentary election have broken down, broadcaster RUV reported on Monday. President Gudni Johannesson gave the mandate to Left-Green leader Katrin Jakobsdottir last week after her party came second in the election. Jakobsdottir told broadcaster RUV that the breakdown of the talks was a huge disappointment and that talks had been progressing well. ",1,worldnews,"November 6, 2017 "
"U.S. to stand with Puerto Rico until ""job is done"": White House","WASHINGTON (Reuters) - White House chief of staff John Kelly said on Friday the federal government would stand with Puerto Rico in its recovery efforts until the “job is done,” saying President Donald Trump was just recognizing reality in a tweet earlier in the day that noted the emergency response would not go on forever. “This country, our country, will stand with those American citizens in Puerto Rico until the job is done,” Kelly told reporters at the White House, adding that the president’s tweet on Thursday morning was “exactly accurate.” “They’re not going to be there for ever,” he said, referring to personnel from the Federal Emergency Management Agency and the U.S. military. ",1,politicsNews,"October 12, 2017 "
Trump considering Rep. Hensarling for Treasury secretary: WSJ,"WASHINGTON (Reuters) - Aides to President-elect Donald Trump are considering Republican Representative Jeb Hensarling of Texas as a candidate for Treasury secretary, the Wall Street Journal reported on Thursday, citing people familiar with the matter. Hensarling told the Journal on Thursday he would “certainly have the discussion” if the Trump administration came calling. “But I’m not anticipating the telephone call,” Hensarling added. “It is not something I’ve indicated interest in. It is not something I am pursuing. ... I think I’m in a pretty good position now to advance the cause,” he told the Journal. ",1,politicsNews,"November 10, 2016 "
Pope Francis plane shifts course to avoid Hurricane Irma,"ROME (Reuters) - Pope Francis flew out of Italy on Wednesday headed for Colombia, with his plane forced to change route because of Hurricane Irma, which is powering across the northern Caribbean. The Alitalia aircraft had been expected to fly over the U.S. territory of Puerto Rico, but will instead shift south and cross the islands of Barbados, Grenada and Trinidad, a Vatican official said. Recent forecasts show that Irma, one of the most powerful Atlantic storms in a century, will hit Puerto Rico later on Wednesday. Francis, making his 20th foreign trip as pontiff and his fifth to his native Latin America, will spend five days in Colombia to encourage a peace process that ended half a century of war between the state and the guerrilla group FARC. ",1,worldnews,"September 6, 2017 "
Wasserman Schultz wins Florida Democratic nod in House race: Miami Herald,"WASHINGTON (Reuters) - U.S. Representative Debbie Wasserman Schultz of Florida, who last month lost her job as head of the Democratic National Committee, won a bid on Tuesday to be her party’s nominee for a seventh term in the U.S. House of Representatives, the Miami Herald reported. The newspaper projected that Wasserman Schultz defeated Tim Canova, a law professor who is an outspoken Wall Street critic. He is aligned with U.S. Senator Bernie Sanders, who lost the Democratic presidential nomination to former Secretary of State Hillary Clinton. ",1,politicsNews,"August 31, 2016 "
Self-driving car advocates launch ad campaign to prod Congress,"WASHINGTON (Reuters) - A coalition of supporters of self-driving cars said on Tuesday that it will run ads this week in social media and Washington newspapers, in an effort to convince the U.S. Congress to adopt sweeping legislation to boost the nascent industry. The ads are being placed by the Coalition for Future Mobility, which was formed in July by trade groups representing major automakers, along with other advocates for self-driving cars, as Congress began serious consideration of bills relating to autonomous vehicles. They want the Senate to pass a bill that would speed up the use of self-driving cars by easing safety regulations, and bar states from blocking such vehicles. The House of Representatives has already unanimously approved a bill. The Senate is considering a similar draft measure, but is divided over whether to include large commercial trucks, a dispute that could prevent the bill from winning approval this year.  The House measure, which only applies to vehicles under 10,000 pounds (4,536 kg), would allow automakers to obtain exemptions to deploy up to 25,000 vehicles without meeting existing auto safety standards in the first year. The cap would rise over three years to 100,000 vehicles annually. As part of the campaign, major automakers will be contacting their employees and retirees, asking them to reach out to their members of Congress, a spokeswoman for the Alliance of Automobile Manufacturers said. The coalition launched a website and will use targeted Facebook advertising, focusing on groups who could benefit from autonomous vehicles, such as disabled veterans. One of the print ads seen by Reuters features a man dressed in military fatigues sitting in a wheelchair. The ad says: “He fought for our freedom. Let’s give him back his.” That “will only become a reality if Congress acts,” the ad says. The coalition includes trade groups representing automakers General Motors Co, Toyota Motor Corp and Volkswagen AG (VOWG_p.DE), as well as organizations including ride sharing firm Lyft Inc, the Telecommunications Industry Association, the American Council of the Blind and a drone industry group.      Senate aides have been negotiating in recent days but have not reached agreement. A Senate panel could take up the issue at an Oct. 4 hearing, aides say. Auto industry leaders say 3 million commercial truck jobs could eventually be at risk if self-driving vehicles replaced human drivers. Self-driving proponents say 94 percent of U.S. car crashes are the result of human error and argue self-driving cars could dramatically cut the 35,000 annual road deaths. ",1,politicsNews,"September 26, 2017 "
"Saudi aims to issue tourist visas next year, official says","DUBAI (Reuters) - Saudi Arabia aims to start issuing tourist visas to foreigners next year, a senior Saudi official told CNN, as the government seeks to open up the conservative kingdom and find new sources of revenue to diversify its economy.   At present, foreigners traveling to Saudi Arabia are largely restricted to resident workers and their dependents, business travelers, and Muslim pilgrims who are given special visas to travel to holy sites.    The targets are people who want to come and literally experience this country, and really the grandness of this country,  Prince Sultan bin Salman bin Abdulaziz, head of the Saudi Commission for Tourism and Natural Heritage, said in an interview broadcast late on Wednesday.   Asked about plans for the visas, he replied:  Hopefully in 2018,  adding that the government would use online technology to make applying for visas easy. Saudi Arabia s 32-year-old heir to the throne, Crown Prince Mohammed bin Salman, is seeking to develop new industries to wean his country off its dependency on oil exports. He has also taken some steps to loosen its ultra-strict social restrictions, scaling back the role of religious morality police and announcing plans to allowing women to drive next year. Plans to admit significant numbers of tourists from abroad have been discussed for years, only to be blocked by conservative opinion and bureaucracy; the commission announced such a plan as long ago as 2006, but it did not go ahead. This time, the government appears determined to push through the change, partly because of financial pressures. It hopes to earn billions of dollars to cover a state budget deficit caused by low oil prices.  Economic reforms aim to lift total tourism spending in the country - by local citizens as well as foreigners - to $46.6 billion in 2020 from $27.9 billion in 2015. Prince Sultan said his commission was focusing mainly on increasing numbers of local tourists. The commission has estimated Saudis spend more than $20 billion annually on tourism abroad, and persuading more of them to holiday inside the country would reduce that drain on the economy. But Prince Sultan told CNN that his commission was also working to prepare tourist spots for foreigners. The government announced plans in August to develop resorts on about 50 islands off the Red Sea coast, with the first phase of the project to be completed in 2022. The kingdom also intends to offer visits to historic sites such as Mada in Saleh, a 2,000-year-old Nabatean city carved into the rocks of the northern desert. Heir to the throne Prince Mohammed would be the first ruler from a new generation since 1953, after six kings who were all sons of state founder Abdulaziz ibn Saud. He has announced wide plans for social and political reforms to the kingdom, which is ruled as an absolute monarchy with a powerful clergy that adheres to Wahhabism, an ultra-austere version of Sunni Islam. ",1,worldnews,"November 23, 2017 "
"Even under oath, Trump struggled with the truth","The lawyer gave Donald Trump a note, written in Trump’s own handwriting. He asked Trump to read it aloud.

Trump may not have realized it yet, but he had walked into a trap.

The mogul had sent the note to a reporter, objecting to a story that said Trump owned a “small minority stake” in a Manhattan real estate project. Trump insisted that the word “small” was incorrect. Trump continued reading: “I wrote, ‘Is 50 percent small?’ ”

“This [note] was intended to indicate that you had a 50 percent stake in the project, correct?” said the lawyer.

For the first of many times that day, Trump was about to be caught saying something that wasn’t true.

It was a mid-December morning in 2007 — the start of an interrogation unlike anything else in the public record of Trump’s life.

Trump had brought it on himself. He had sued a reporter, accusing him of being reckless and dishonest in a book that raised questions about Trump’s net worth. The reporter’s attorneys turned the tables and brought Trump in for a deposition.

For two straight days, they asked Trump question after question that touched on the same theme: Trump’s honesty.

The lawyers confronted the mogul with his past statements — and with his company’s internal documents, which often showed those statements had been incorrect or invented. The lawyers were relentless. Trump, the bigger-than-life mogul, was vulnerable — cornered, out-prepared and under oath.

Trump had misstated sales at his condo buildings. Inflated the price of membership at one of his golf clubs. Overstated the depth of his past debts and the number of his employees.

That deposition — 170 transcribed pages — offers extraordinary insights into Trump’s relationship with the truth. Trump’s falsehoods were unstrategic — needless, highly specific, easy to disprove. When caught, Trump sometimes blamed others for the error or explained that the untrue thing really was true, in his mind, because he saw the situation more positively than others did.

“Have you ever lied in public statements about your properties?” the lawyer asked.

“I try and be truthful,” Trump said. “I’m no different from a politician running for office. You always want to put the best foot forward.”

In his presidential campaign, Trump has sought to make his truth-telling a selling point. He nicknamed his main Republican opponent “Lyin’ Ted” Cruz. He called his Democratic opponent, Hillary Clinton, “A PATHOLOGICAL LIAR!” in a recent Twitter message. “I will present the facts plainly and honestly,” he said in the opening of his speech at the Republican National Convention. “We cannot afford to be so politically correct anymore.”

Trump has had a habit of telling demonstrable untruths during his presidential campaign. The Washington Post’s Fact Checker has awarded him four Pinocchios — the maximum a statement can receive — 39 times since he announced his bid last summer. In many cases, his statements echo those in the 2007 deposition: They are specific, checkable — and wrong.

Trump said he opposed the Iraq War at the start. He didn’t. He said he’d never mocked a disabled New York Times reporter. He had. Trump also said the National Football League had sent him a letter, objecting to a presidential debate that was scheduled for the same time as a football game. It hadn’t.

Last week, Trump claimed that he had seen footage — taken at a top-secret location and released by the Iranian government — showing a plane unloading a large amount of cash to Iran from the U.S. government. He hadn’t. Trump later conceded he’d been mistaken — he’d seen TV news video that showed a plane during a prisoner release.

But, even under the spotlight of this campaign, Trump has never had an experience quite like this deposition on Dec. 19 and 20, 2007.

He was trapped in a room — with his own prior statements and three high-powered lawyers.

“A very clear and visible side effect of my lawyers’ questioning of Trump is that he [was revealed as] a routine and habitual fabulist,” said Timothy L. O’Brien, the author Trump had sued.

The Washington Post sent the Trump campaign a detailed list of questions about this deposition, listing all the times when Trump seemed to have been caught in a false or unsupported statement. The Post asked Trump whether he wanted to challenge any of those findings — and whether he had felt regret when confronted with them.

He did not answer those questions.

In 2005, O’Brien, then a reporter for the New York Times, had published a book called “Trump Nation: The Art of Being the Donald.” In the book, O’Brien cited people who questioned a claim at the bedrock of Trump’s identity — that his net worth was more than $5 billion. O’Brien said he had spoken to three people who estimated that the figure was between $150 million and $250 million.

Trump sued. He later told The Post that he intended to hurt O’Brien, whom he called a “lowlife sleazebag.”

“I didn’t read [the book], to be honest with you. . . . I never read it. I saw some of the things they said,” Trump said later. “I said: ‘Go sue him. It will cost him a lot of money.’ ”

By filing suit, Trump hadn’t just opened himself up to questioning — he had opened a door into the opaque and secretive company he ran.

O’Brien’s attorneys included Mary Jo White, now the chair of the Securities and Exchange Commission, and Andrew Ceresney, now the SEC’s director of enforcement. The lawsuit had given them the power to request that Trump turn over internal company documents, and they used it. They arrived at the deposition having already identified where Trump’s public statements hadn’t matched the private truth.

The questions began with that handwritten note and the 50 percent stake that wasn’t 50 percent.

“The 30 percent equates to much more than 30 percent,” Trump explained. His reasoning was that he had not been required to put up money at the outset, so his 30 percent share seemed more valuable.

“Are you saying that the real estate community would interpret your interest to be 50 percent, even though in limited partnership agreements it’s 30 percent?” Ceresney asked.

“Smart people would say it’s much more than 30 percent.”

TRUMP: I got more than a million dollars, because they have tremendous promotion expenses, to my advantage. In other words, they promote, which has great value, through billboards, through newspapers, through radio, I think through television – yeah, through television.

And they spend – again, I’d have to ask them, but I bet they spend at least a million or two million or maybe even more than that on promoting Donald Trump.

LAWYER: But how much of the payments were cash?

LAWYER: So when you say publicly that you got paid more than a million dollars, you’re including in that sum the promotional expenses that they pay?

TRUMP: Oh, absolutely, yes. That has a great value. It has a great value to me.

LAWYER: Do you actually say that when you say you got paid more than a million dollars publicly?

On to the next one.

“I was paid more than a million dollars,” Trump said when Ceresney asked how much he’d been paid for a speech in 2005 at New York City’s Learning Annex, a continuing-education center.

“But how much of the payments were cash?”

Trump said his personal math included the intangible value of publicity: The Learning Annex had advertised his speech heavily, and Trump thought that helped his brand. Therefore, in his mind he’d been paid more than $1 million, even though his actual payment was $400,000.

“Do you actually say that, when you say you got a million dollars publicly?” Ceresney asked.

As the deposition went on, the lawyers led Trump through case after case in which he’d overstated his success.

The lawyer played a clip from Larry King’s talk show, in which King asked Trump how many people worked for him. “Twenty-two thousand or so,” Trump said.

“Are all those people on your payroll?” Ceresney asked him.

“No, not directly,” Trump said. He said he was counting employees of other companies that acted as suppliers and subcontractors to his businesses.

Another one. In O’Brien’s book, Trump had been quoted saying: “I had zero borrowings from [my father’s] estate. . . . I give you my word.”

“Mr. Trump, have you ever borrowed money from your father’s estate?”

“I think a small amount a long time ago,” Trump said. “I think it was like in the $9 million range.”

Another one. In one of his own books, Trump had said about one of his golf courses: “Membership costs $300,000. I think it’s a bargain.”

“In fact, your memberships were not selling at $300,000 at that time, correct?”

“We’ve sold many for two hundred” thousand, Trump said. Then, Trump pushed it upward: “We’ve sold many for, I think, two-fifty.”

But this was not the place to push it.

The lawyer had an internal Trump document that showed the true figure — “$200,000 per membership,” Ceresney said.

LAWYER: You didn’t correct it when you read the book?

TRUMP: Well, I did correct it, and she didn’t correct it.

But you could have her in as a witness, and I’m sure we’ll bring her in as a witness because what she wrote was — I asked her to change it to “billions of dollars in debt,” and she probably forgot.

LAWYER: And when you read it, you didn’t correct it?

LAWYER: You didn’t see it.

TRUMP: I read it very quickly. I didn’t see it. I would have corrected it, but I didn’t see it.

In some cases, Trump acknowledged he was wrong — but not that he was at fault. Instead, he sought to turn the blame on others.

“This is somebody that wrote it, probably Meredith McIver,” Trump said at one point when confronted with another false statement. “That is a mistake.”

McIver, a staff writer with the Trump Organization, blazed into the public eye last month for having inserted plagiarized material — taken from Michelle Obama’s 2008 convention speech — in the convention speech of Trump’s wife, Melania. McIver said it had been an innocent mistake.

But in this deposition more than eight years earlier, Trump was blaming her for a mistake in one of his own books, “How to Get Rich.” In the 2004 book, co-written with McIver, Trump described his massive debt load during a low period in the early 1990s. “I owed billions upon billions of dollars — $9.2 billion to be exact,” the book said as it retold the story of his rise back to success.

The depth of that financial hole made it seem even more impressive that Trump had climbed out again. But the figure was wrong. His actual debts had been much less.

“I pointed it out to the person who wrote the book,” Trump said, meaning McIver.

“Right after she wrote the book?”

Then the lawyer showed Trump another book he’d written with McIver, three years later.

“In fact, I was $9 billion in debt,” Trump read aloud. A similar error, repeated. It was McIver’s fault again.

“And when you read it, you didn’t correct it?”

“I read it very quickly,” Trump said about a book he was credited with writing.

LAWYER: When you wrote, “O’Brien . . . threatened sources by telling them he can, quote, ‘Settle scores with enemies by writing negative articles about them,’ ” what was the basis for that statement?

TRUMP: Just my perception of him.

I don’t know that he indicated anything like that to me, but I think he probably did indirectly. Just my dealing with him.

In other cases, the lawyers prodded Trump into admitting that he had made authoritative-sounding statements without any proof behind them. These statements were another kind of untruth.

They were not necessarily false. They might have been true.

But Trump said them without knowing one way or the other.

“What basis do you have for that statement?” Ceresney asked in one case, about an assertion from Trump that O’Brien had been reported to the police for stalking.

“I guess that was probably taken off the Internet,” Trump said.

On to the next one.

“You wrote, ‘O’Brien . . . threatened sources by telling them he can, quote, settle scores with enemies by writing negative articles about them,’ ” Ceresney asked, reading Trump’s words from a legal complaint. “What was the basis for that statement?”

“Just my perception of him,” Trump said. “I don’t know that he indicated anything like that to me, but I think he probably did indirectly.”

The most striking example was a question at the very heart of the legal case: What was Trump’s actual net worth?

Trump had told O’Brien he was worth up to $6 billion. But the lawyers confronted him with other documents — from Trump’s accountants and from outside banks — that seemed to show the real figure was far lower.

The lawyers asked: “Have you ever not been truthful” about your net worth?

Trump’s answer here was that the truth about his wealth was — in essence — up to him to decide.

“My net worth fluctuates, and it goes up and down with markets and with attitudes and with feelings, even my own feelings,” Trump said. “But I try.”

The interrogation finally ended after two days. Trump’s attorney made a final demand.

“I want the record to be crystal clear that every single word, every question, every answer, every word, is confidential,” said the attorney, Mark Ressler.

In 2009, a judge dismissed Trump’s case against O’Brien. Trump appealed, but in 2011 that was denied, too.

Along the way, this once-confidential deposition became part of the public record when O’Brien’s attorneys attached it to one of their motions.

In a brief statement this week, Trump said he felt the lawsuit was a success, despite his loss.

“O’Brien knows nothing about me,” Trump said. “His book was a total failure and ultimately I had great success doing what I wanted to do — costing this third rate reporter a lot of legal fees.”

O’Brien, now executive editor of Bloomberg View, said Trump got that wrong. The publisher and insurance companies covered the cost.

“Donald Trump lost his lawsuit and, unlike him, it didn’t cost me a penny to litigate it,” he said.",1,,
Nepal votes in final round of polls at the end of long democratic transition,"KATHMANDU (Reuters) - Nepalis began voting in the final round of parliamentary elections on Thursday, a key step to complete a near decade-long democratic transition after the abolition of the centuries-old monarchy and the end of a civil war against Maoist guerrillas. The first phase of the election was held on Nov. 26, with final results not expected for about another 10 days because of the cumbersome vote-counting procedure, officials said. Officials said more than 200,000 soldiers and police had been deployed to maintain security at polling centers after one person was killed and dozens wounded in a series of small blasts in the run-up to the polls.  Hundreds of activists, including from a splinter group of Maoists opposed to the election, have been detained for creating trouble,  army spokesman Nain Raj Dahal said. More than 15 million people were eligible to vote for the  275-member parliament - 165 through first-past-the-post and 110 on a proportional basis in both rounds. Voters will also choose representatives to seven state assemblies for the first time since Nepal became a federal democracy under the first republican constitution in 2015.  The country will achieve political stability after the election ... and will move ahead solidly on the path of economic and social prosperity,  President Bidhya Devi Bhandari said in a statement. Nepal has seen 10 government changes in as many years. Instability has given rise to corruption, retarded growth and slowed recovery from a 2015 earthquake that killed 9,000 people.  I voted in hopes for a stable government that can concentrate on development and create jobs so our children don t have to go abroad to work,  Binita Karki, 57, said after casting her ballots in a Kathmandu suburb, where armed soldiers stood nearby. Her son works on a construction site in Qatar. The election pits the centrist Nepali Congress party of Prime Minister Sher Bahadur Deuba, who heads a loose alliance  that includes the Madhesi parties from Nepal s southern plains and former royalists, against a tight-knit alliance of former Maoists and the moderate Communist UML party. The Nepali Congress party is considered a pro-India group, while the opposition alliance is seen as closer to China. Nepal is a natural buffer between the two and the outcome could indicate whether China or India gets the upper hand in the battle for influence in a nation rich in hydropower and home to Mount Everest. Nepal emerged from a civil war in 2006 and abolished its 239-year-old Hindu monarchy two years later. ",1,worldnews,"December 7, 2017 "
Iraq oil ministry warns oil companies against Kurdistan contracts,BAGHDAD (Reuters) - Iraq s oil ministry on Thursday cautioned oil companies against signing contracts with Iraqi Kurdistan. On Wednesday Russian state-controlled oil company Rosneft signed an agreement to put production sharing agreements into force with respect to five production blocks in Iraqi Kurdistan.     ,1,worldnews,"October 19, 2017 "
